"CODESTAB","CODMUNNASC","n_nascimentos","ANONASC","n_anomalias"
"2469375",172049,27,2010,1
"2469499",170220,71,2010,0
"2469510",170220,1,2010,0
"2469545",172010,5,2010,0
"2476649",140020,93,2010,1
"2476703",140050,30,2010,0
"2476711",140023,23,2010,0
"2476827",140045,89,2010,0
"2486784",170755,1,2010,0
"2486792",171070,24,2010,0
"2486865",171890,5,2010,0
"2486938",170384,6,2010,0
"2486954",170270,2,2010,0
"2487039",171270,6,2010,0
"2487055",171240,7,2010,0
"2492555",172100,2,2010,0
"2494078",110020,1,2010,0
"2494094",171570,4,2010,0
"2494116",171650,1,2010,0
"2494167",170230,83,2010,1
"2494299",110002,1173,2010,0
"2495228",110028,1313,2010,2
"2495279",110012,1226,2010,1
"2495414",110025,109,2010,0
"2496046",110004,1056,2010,8
"2496534",110018,504,2010,1
"2496879",110015,637,2010,1
"2504901",150613,1354,2010,5
"2504944",150613,50,2010,0
"2515229",171660,163,2010,1
"2515237",170765,8,2010,0
"2515369",110020,111,2010,2
"2515415",110020,81,2010,0
"2515423",110020,168,2010,0
"2515431",110020,90,2010,0
"2515458",110020,76,2010,0
"2515466",110020,122,2010,0
"2515504",110002,520,2010,1
"2515520",110002,399,2010,0
"2515598",110002,107,2010,1
"2515601",110002,177,2010,1
"2515652",110002,41,2010,0
"2515768",110010,932,2010,3
"2515989",110030,108,2010,1
"2515997",110030,142,2010,0
"2516047",110018,232,2010,2
"2516071",110018,69,2010,0
"2516144",110012,62,2010,0
"2516276",110015,137,2010,0
"2516284",110015,173,2010,0
"2516292",110015,141,2010,1
"2516381",110004,115,2010,1
"2516500",110001,52,2010,1
"2516586",110028,23,2010,0
"2516594",110028,58,2010,0
"2537028",150815,727,2010,4
"2546671",170200,124,2010,0
"2546736",170820,183,2010,0
"2554879",170290,1,2010,0
"2555956",170100,103,2010,0
"2555964",170555,3,2010,0
"2560186",171110,1,2010,0
"2560240",171620,137,2010,0
"2560267",171430,1,2010,0
"2560305",171660,1,2010,0
"2566141",140047,125,2010,1
"2566168",140010,7714,2010,55
"2566206",140010,2,2010,0
"2597462",170980,1,2010,0
"2600390",171670,73,2010,0
"2600420",171420,80,2010,0
"2600498",170035,2,2010,0
"2614189",150370,4,2010,0
"2614472",150553,173,2010,0
"2614634",150553,297,2010,2
"2614685",150420,1,2010,0
"2614928",150420,3,2010,0
"2615711",150370,734,2010,5
"2615738",150034,110,2010,0
"2615746",150553,2792,2010,13
"2615754",150553,260,2010,3
"2615762",150553,30,2010,1
"2615770",150420,330,2010,1
"2615800",150420,125,2010,1
"2615819",150420,81,2010,0
"2615835",150080,2241,2010,8
"2615843",150280,442,2010,0
"2615959",150276,19,2010,1
"2615991",150555,126,2010,0
"2616009",150775,30,2010,0
"2616114",150172,249,2010,2
"2616122",150780,1,2010,0
"2616181",150835,4,2010,0
"2616211",150548,416,2010,4
"2616483",150345,390,2010,3
"2616491",150230,437,2010,0
"2616513",150812,79,2010,1
"2619717",150442,2082,2010,12
"2619792",150710,27,2010,0
"2619865",150450,126,2010,0
"2619938",150530,1122,2010,5
"2619946",150797,256,2010,0
"2620006",150805,127,2010,1
"2620103",150650,614,2010,7
"2621339",150020,1,2010,0
"2621584",150440,112,2010,1
"2621592",150840,324,2010,1
"2621606",150840,130,2010,0
"2621614",150810,1127,2010,10
"2621622",150810,129,2010,0
"2621630",150810,29,2010,0
"2621649",150810,1361,2010,8
"2622254",150565,95,2010,0
"2622319",150275,504,2010,1
"2622467",150220,1476,2010,0
"2622475",150445,404,2010,2
"2622491",150563,29,2010,0
"2622580",150497,1,2010,0
"2647095",172210,400,2010,1
"2649276",170040,3,2010,0
"2651343",170210,63,2010,2
"2652706",150480,995,2010,6
"2652722",150480,69,2010,0
"2658801",171575,71,2010,0
"2658860",171790,9,2010,0
"2658887",171780,3,2010,0
"2658976",171110,23,2010,1
"2667711",170710,2,2010,0
"2667746",170610,4,2010,0
"2667754",171700,9,2010,0
"2672111",150840,409,2010,2
"2673886",150553,170,2010,3
"2674769",150240,1,2010,0
"2674785",150660,390,2010,3
"2675951",150190,337,2010,0
"2676001",150125,9,2010,0
"2676044",150060,292,2010,1
"2676087",150655,2,2010,0
"2676109",150715,141,2010,1
"2676125",150747,90,2010,0
"2676192",150760,634,2010,1
"2676222",150803,55,2010,0
"2676435",150620,372,2010,5
"2676923",150580,949,2010,5
"2676966",150610,66,2010,2
"2677024",150611,13,2010,0
"2677040",150618,367,2010,1
"2677180",150503,1,2010,0
"2677210",150520,1,2010,0
"2677229",150560,5,2010,0
"2677369",150405,10,2010,0
"2677377",150405,270,2010,0
"2677407",150405,382,2010,0
"2677431",150460,572,2010,3
"2677504",150195,6,2010,0
"2677563",150215,489,2010,2
"2677571",150293,332,2010,0
"2677598",150293,308,2010,1
"2677644",150345,7,2010,0
"2677822",150506,1,2010,0
"2678322",150170,147,2010,0
"2678403",150170,1437,2010,4
"2678500",150178,253,2010,1
"2678578",150090,425,2010,2
"2678624",150157,197,2010,0
"2678756",150170,1723,2010,3
"2679191",110029,9,2010,0
"2679205",110120,1,2010,0
"2679477",110001,319,2010,0
"2680017",110020,1,2010,0
"2680297",170650,3,2010,0
"2680327",171190,2,2010,0
"2680378",170550,61,2010,0
"2680394",171610,82,2010,1
"2694522",150730,1,2010,0
"2694530",150730,623,2010,4
"2694891",150730,1,2010,0
"2695243",150140,389,2010,2
"2695251",150140,562,2010,1
"2697289",150470,918,2010,7
"2708833",130270,1,2010,0
"2708892",130150,280,2010,1
"2708906",130200,199,2010,0
"2708914",130220,149,2010,0
"2708922",130320,209,2010,1
"2708930",130356,192,2010,0
"2711184",150590,584,2010,1
"2717379",130010,235,2010,0
"2717387",130380,24,2010,0
"2717395",130430,301,2010,1
"2743574",110029,1,2010,0
"2743590",110020,1022,2010,9
"2743604",110020,25,2010,0
"2743612",110170,7,2010,0
"2744384",110149,207,2010,1
"2744392",110150,172,2010,1
"2744414",110175,3,2010,0
"2744422",110180,1,2010,0
"2752700",150140,5415,2010,172
"2755149",171610,1284,2010,3
"2755157",172100,4221,2010,27
